pattern,attack,support,confidence,lift
Service=dns + State=INT,Generic,0.24209770559582092,0.9920363184458139,4.022595855498427
Protocol=udp + Service=dns + State=INT,Generic,0.24209770559582092,0.9920363184458139,4.022595855498427
Protocol=tcp + Service=smtp,Exploits,0.01926135906466048,0.6153846153846153,3.6430399440805417
Service=smtp,Exploits,0.01926135906466048,0.6153846153846153,3.6430399440805417
Protocol=tcp + Service=smtp + State=FIN,Exploits,0.0189952156071475,0.6128194888178914,3.627854548946221
Service=smtp + State=FIN,Exploits,0.0189952156071475,0.6128194888178914,3.627854548946221
Protocol=udp + Service=dns,Generic,0.24209770559582092,0.8278482084276916,3.3568315093747483
Service=dns,Generic,0.24210389497855378,0.827081659407113,3.3537232391875773
Protocol=udp + State=INT,Generic,0.24267331818997692,0.7617345352813181,3.088747990006192
Protocol=arp,Normal,0.017695445233246888,1.0,2.890699921276748
Protocol=arp + Service=-,Normal,0.017695445233246888,1.0,2.890699921276748
Protocol=arp + Service=- + State=INT,Normal,0.017138400787289485,1.0,2.890699921276748
Protocol=arp + State=INT,Normal,0.017138400787289485,1.0,2.890699921276748
Service=dns + State=CON,Normal,0.04621612086626601,0.9835353003161224,2.8431054151967174
Protocol=udp + Service=dns + State=CON,Normal,0.04621612086626601,0.9835353003161224,2.8431054151967174
Protocol=udp + State=CON,Normal,0.06802131623413198,0.971277065841803,2.8076705377668105
Protocol=udp + Service=- + State=CON,Normal,0.021805195367865963,0.9462798818157401,2.73541117987053
State=CON,Normal,0.07488534168487376,0.9223907905771136,2.6663549857076596
Protocol=udp,Generic,0.2427228332518398,0.6215192481417501,2.5201907482624706
Service=- + State=CON,Normal,0.0286630314358749,0.8511303069288734,2.4603623112355484
State=INT,Generic,0.24351507424164587,0.5725678527250236,2.321698337588754
Service=ftp-data + State=FIN,Normal,0.01579530473425885,0.6391184573002755,1.847499674204423
Protocol=tcp + Service=ftp-data + State=FIN,Normal,0.01579530473425885,0.6391184573002755,1.847499674204423
Service=ftp-data,Normal,0.01579530473425885,0.6387984981226532,1.8465747682348586
Protocol=tcp + Service=ftp-data,Normal,0.01579530473425885,0.6387984981226532,1.8465747682348586
Protocol=tcp + Service=-,Normal,0.1675342118130559,0.5866620429571512,1.695863921392293
Service=- + State=FIN,Normal,0.15593530857167615,0.5701935045830033,1.6482583188106008
Protocol=tcp + Service=- + State=FIN,Normal,0.15593530857167615,0.5701935045830033,1.6482583188106008
