pattern,attack,support,confidence,lift
Protocol=unas + Service=- + State=INT,DoS,0.02525268155006901,0.33763654419066536,7.077182607064508
Protocol=unas + State=INT,DoS,0.02525268155006901,0.33763654419066536,7.077182607064508
Protocol=unas,DoS,0.02525268155006901,0.33763654419066536,7.077182607064508
Protocol=unas + Service=-,DoS,0.02525268155006901,0.33763654419066536,7.077182607064508
Service=pop3 + State=FIN,Exploits,0.006418389893975873,0.9427272727272727,5.580888805244294
Protocol=tcp + Service=pop3 + State=FIN,Exploits,0.006418389893975873,0.9427272727272727,5.580888805244294
Protocol=tcp + Service=pop3,Exploits,0.006430768659441594,0.9402714932126697,5.5663507380877695
Service=pop3,Exploits,0.006430768659441594,0.9402714932126697,5.5663507380877695
Protocol=udp + Service=dns + State=INT,Generic,0.24209770559582092,0.9920363184458139,4.022595855498427
Service=dns + State=INT,Generic,0.24209770559582092,0.9920363184458139,4.022595855498427
Service=smtp,Exploits,0.01926135906466048,0.6153846153846153,3.6430399440805417
Protocol=tcp + Service=smtp,Exploits,0.01926135906466048,0.6153846153846153,3.6430399440805417
Service=smtp + State=FIN,Exploits,0.0189952156071475,0.6128194888178914,3.627854548946221
Protocol=tcp + Service=smtp + State=FIN,Exploits,0.0189952156071475,0.6128194888178914,3.627854548946221
Protocol=udp + Service=- + State=INT,Fuzzers,0.027938873656130275,0.3748235489495973,3.4583471151356053
Protocol=udp + Service=dns,Generic,0.24209770559582092,0.8278482084276916,3.3568315093747483
Service=dns,Generic,0.24210389497855378,0.827081659407113,3.3537232391875773
Protocol=udp + State=INT,Generic,0.24267331818997692,0.7617345352813181,3.088747990006192
Protocol=ospf + State=INT,Exploits,0.005434278039451125,0.49604519774011296,2.9365577628344144
Protocol=ospf + Service=- + State=INT,Exploits,0.005434278039451125,0.49604519774011296,2.9365577628344144
Protocol=ospf,Exploits,0.007662455823280744,0.47707129094412337,2.824233374760706
Protocol=ospf + Service=-,Exploits,0.007662455823280744,0.47707129094412337,2.824233374760706
Service=ftp,Exploits,0.009995853113568983,0.4711201866977829,2.7890031952293968
Protocol=tcp + Service=ftp,Exploits,0.009995853113568983,0.4711201866977829,2.7890031952293968
Protocol=tcp + Service=ftp + State=FIN,Exploits,0.009946338051706104,0.4700204738227552,2.782492961091935
Service=ftp + State=FIN,Exploits,0.009946338051706104,0.4700204738227552,2.782492961091935
Service=http + State=FIN,Exploits,0.05365575891116379,0.46353331194524644,2.7440893525962786
Protocol=tcp + Service=http + State=FIN,Exploits,0.05365575891116379,0.46353331194524644,2.7440893525962786
Service=http,Exploits,0.05369908459029381,0.4634367822231718,2.743517902442152
Protocol=tcp + Service=http,Exploits,0.05369908459029381,0.4634367822231718,2.743517902442152
Protocol=unas + Service=-,Exploits,0.03267994082950108,0.4369414101290964,2.586666891775162
Protocol=unas,Exploits,0.03267994082950108,0.4369414101290964,2.586666891775162
Protocol=unas + State=INT,Exploits,0.03267994082950108,0.4369414101290964,2.586666891775162
Protocol=unas + Service=- + State=INT,Exploits,0.03267994082950108,0.4369414101290964,2.586666891775162
Protocol=udp,Generic,0.2427228332518398,0.6215192481417501,2.5201907482624706
State=INT,Generic,0.24351507424164587,0.5725678527250236,2.321698337588754
Protocol=tcp + Service=ftp-data,Exploits,0.008881764221654175,0.3591989987484355,2.1264364880107167
Service=ftp-data,Exploits,0.008881764221654175,0.3591989987484355,2.1264364880107167
Service=ftp-data + State=FIN,Exploits,0.008869385456188454,0.358878036563987,2.124536411165678
Protocol=tcp + Service=ftp-data + State=FIN,Exploits,0.008869385456188454,0.358878036563987,2.124536411165678
