antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'proto_unas'}),frozenset({'attack_DoS'}),0.07479250094388086,0.04770776210488528,0.02525268155006901,0.33763654419066536,7.077182607064508,1.0,0.021684498707808933,1.437718566057542,0.9281170276690915,0.2596741344195519,0.3044535811051237,0.43347836550477736
"frozenset({'proto_unas', 'service_-', 'state_INT'})",frozenset({'attack_DoS'}),0.07479250094388086,0.04770776210488528,0.02525268155006901,0.33763654419066536,7.077182607064508,1.0,0.021684498707808933,1.437718566057542,0.9281170276690915,0.2596741344195519,0.3044535811051237,0.43347836550477736
"frozenset({'service_-', 'proto_unas'})",frozenset({'attack_DoS'}),0.07479250094388086,0.04770776210488528,0.02525268155006901,0.33763654419066536,7.077182607064508,1.0,0.021684498707808933,1.437718566057542,0.9281170276690915,0.2596741344195519,0.3044535811051237,0.43347836550477736
"frozenset({'proto_unas', 'state_INT'})",frozenset({'attack_DoS'}),0.07479250094388086,0.04770776210488528,0.02525268155006901,0.33763654419066536,7.077182607064508,1.0,0.021684498707808933,1.437718566057542,0.9281170276690915,0.2596741344195519,0.3044535811051237,0.43347836550477736
"frozenset({'state_FIN', 'service_pop3', 'proto_tcp'})",frozenset({'attack_Exploits'}),0.006808321006146057,0.16892063354521653,0.006418389893975873,0.9427272727272727,5.580888805244294,1.0,0.0052683239962384755,14.510909573020035,0.8264437659082071,0.03790897459331018,0.9310863323234203,0.4903618776064914
"frozenset({'state_FIN', 'service_pop3'})",frozenset({'attack_Exploits'}),0.006808321006146057,0.16892063354521653,0.006418389893975873,0.9427272727272727,5.580888805244294,1.0,0.0052683239962384755,14.510909573020035,0.8264437659082071,0.03790897459331018,0.9310863323234203,0.4903618776064914
frozenset({'service_pop3'}),frozenset({'attack_Exploits'}),0.006839267919810358,0.16892063354521653,0.006430768659441594,0.9402714932126697,5.5663507380877695,1.0,0.005275475189441754,13.914283332311147,0.8259983093331961,0.03797792236274582,0.9281314045346595,0.48917062862304306
"frozenset({'service_pop3', 'proto_tcp'})",frozenset({'attack_Exploits'}),0.006839267919810358,0.16892063354521653,0.006430768659441594,0.9402714932126697,5.5663507380877695,1.0,0.005275475189441754,13.914283332311147,0.8259983093331961,0.03797792236274582,0.9281314045346595,0.48917062862304306
"frozenset({'service_dns', 'proto_udp', 'state_INT'})",frozenset({'attack_Generic'}),0.244041171773939,0.24661595499080877,0.24209770559582092,0.9920363184458139,4.022595855498427,1.0,0.18191325896171495,94.60248251804742,0.9939751743441811,0.9740033367364723,0.9894294528707613,0.9868576622973202
"frozenset({'service_dns', 'state_INT'})",frozenset({'attack_Generic'}),0.244041171773939,0.24661595499080877,0.24209770559582092,0.9920363184458139,4.022595855498427,1.0,0.18191325896171495,94.60248251804742,0.9939751743441811,0.9740033367364723,0.9894294528707613,0.9868576622973202
