pattern,attack,training_support,training_confidence,training_lift,test_antecedent_count,test_attack_count,test_support,test_confidence,confidence_change,validation,label
Protocol=unas + Service=- + State=INT,DoS,0.025252681550069,0.3376365441906653,7.077182607064508,3515,1166,0.0149659863945578,0.3317211948790896,-0.0059153493115756,Observed,DoS: Protocol=unas + Service=- + State=INT
Protocol=unas + Service=-,DoS,0.025252681550069,0.3376365441906653,7.077182607064508,3515,1166,0.0149659863945578,0.3317211948790896,-0.0059153493115756,Observed,DoS: Protocol=unas + Service=-
Protocol=unas,DoS,0.025252681550069,0.3376365441906653,7.077182607064508,3515,1166,0.0149659863945578,0.3317211948790896,-0.0059153493115756,Observed,DoS: Protocol=unas
Protocol=unas + State=INT,DoS,0.025252681550069,0.3376365441906653,7.077182607064508,3515,1166,0.0149659863945578,0.3317211948790896,-0.0059153493115756,Observed,DoS: Protocol=unas + State=INT
Protocol=tcp + Service=pop3 + State=FIN,Exploits,0.0064183898939758,0.9427272727272727,5.580888805244294,420,394,0.0050571171864972,0.938095238095238,-0.0046320346320346,Observed,Exploits: Protocol=tcp + Service=pop3 + State=FIN
Service=pop3 + State=FIN,Exploits,0.0064183898939758,0.9427272727272727,5.580888805244294,420,394,0.0050571171864972,0.938095238095238,-0.0046320346320346,Observed,Exploits: Service=pop3 + State=FIN
Service=pop3,Exploits,0.0064307686594415,0.9402714932126696,5.5663507380877695,423,396,0.0050827878321139,0.9361702127659576,-0.004101280446712,Observed,Exploits: Service=pop3
Protocol=tcp + Service=pop3,Exploits,0.0064307686594415,0.9402714932126696,5.5663507380877695,423,396,0.0050827878321139,0.9361702127659576,-0.004101280446712,Observed,Exploits: Protocol=tcp + Service=pop3
Service=dns + State=INT,Generic,0.2420977055958209,0.992036318445814,4.022595855498427,18263,18161,0.2331022975227827,0.9944149373049336,0.0023786188591194,Observed,Generic: Service=dns + State=INT
Protocol=udp + Service=dns + State=INT,Generic,0.2420977055958209,0.992036318445814,4.022595855498427,18263,18161,0.2331022975227827,0.9944149373049336,0.0023786188591194,Observed,Generic: Protocol=udp + Service=dns + State=INT
