attack,pattern,training_support,training_confidence,training_lift,test_support,test_confidence,confidence_change,score
DoS,Protocol=unas + Service=- + State=INT,0.0253,0.3376,7.0772,0.015,0.3317,-0.0059,2.9624
DoS,Protocol=unas + Service=-,0.0253,0.3376,7.0772,0.015,0.3317,-0.0059,2.9624
DoS,Protocol=unas,0.0253,0.3376,7.0772,0.015,0.3317,-0.0059,2.9624
Exploits,Protocol=tcp + Service=pop3 + State=FIN,0.0064,0.9427,5.5809,0.0051,0.9381,-0.0046,2.6067
Exploits,Service=pop3 + State=FIN,0.0064,0.9427,5.5809,0.0051,0.9381,-0.0046,2.6067
Exploits,Service=pop3,0.0064,0.9403,5.5664,0.0051,0.9362,-0.0041,2.6002
Fuzzers,Protocol=udp + Service=- + State=INT,0.0279,0.3748,3.4583,0.0137,0.1677,-0.2071,1.409
Generic,Service=dns + State=INT,0.2421,0.992,4.0226,0.2331,0.9944,0.0024,2.0063
Generic,Protocol=udp + Service=dns + State=INT,0.2421,0.992,4.0226,0.2331,0.9944,0.0024,2.0063
Generic,Protocol=udp + Service=dns,0.2421,0.8278,3.3568,0.2331,0.8506,0.0227,1.6784
